Words			Original Roots		Predicted roots
घृणित		घृणित			घृणित
कार्य		कार्य			कार्य
है		है			है
।		।			।
गढ़मुक्तेश्वर		गढ़मुक्तेश्वर			गुगकक्तेश्वर
से		से			से
सपा		सपा			सपा
विधायक		विधायक			विधायक
मदन		मदन			मदन
चौहान		चौहान			चौहान
ने		ने			ने
कहा		कह			कह
कि		कि			कि
जो		जो			जो
काम		काम			काम
कांग्रेस		कांग्रेस			कांग्रेस
के		का			का
कार्यकर्ताओं		कार्यकर्ता			कार्यकर्ता
ने		ने			ने
किया		कर			कर
है		है			है
,		COMMA			UNNNNNNNNNNNNNNNNN
वह		वह			वह
हम		हम			हम
भी		भी			भी
कर		कर			कर
सकते		सक			सक
हैं		है			है
लेकिन		लेकिन			लेकिन
अमर		अमर			अमर
सिंह		सिंह			सिंह
ऐसा		ऐसा			ऐसा
नहीं		नहीं			नहीं
चाहते		चाह			चाह
।		।			।
सपा		सपा			सपा
नेता		नेता			नेता
अशोक		अशोक			अशोक
चौहान		चौहान			चौहान
नोएडा		नोएडा			नोएडा
से		से			से
बड़े		बड़ा			बड़ा
काफिले		काफिला			काफिला
के		के			का
साथ		साथ			साथ
प्रदर्शन		प्रदर्शन			प्रदर्शन
में		में			में
शामिल		शामिल			शामिल
हुए		हो			हो
।		।			।
उनका		वह			वह
कहना		कह			कह
था		था			था
कि		कि			कि
दिल्ली		दिल्ली			दिल्ली
पुलिस		पुलिस			पुलिस
ने		ने			ने
उनकी		वह			वह
बसों		बस			बस
को		को			को
काफी		काफी			काफी
देर		देर			देर
तक		तक			तक
रोके		रोक			रोक
रखा		रख			रख
।		।			।
सांसद		सांसद			सांसद
अक्षय		अक्षय			अक्षय
प्रताप		प्रताप			प्रताप
,		COMMA			UNNNNNNNNNNNNNNNNN
मोहन		मोहन			मोहन
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
चंद्रभूषण		चंद्रभूषण			चंद्रभूषण
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
आदित्य		आदित्य			आदित्य
विक्रम		विक्रम			विक्रम
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
मंकेश्वर		मंकेश्वर			मंकेश्वर
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
अनिल		अनिल			अनिल
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
राधेश्याम		राधेश्याम			राधेश्याम
सिंह		सिंह			सिंह
आदि		आदि			आदि
नेताओं		नेता			नेता
ने		ने			ने
राष्ट्रपति		राष्ट्रपति			राष्ट्रपति
को		को			को
ज्ञापन		ज्ञापन			ज्ञापन
सौंपा		सौंप			सौंप
।		।			।
प्रदर्शन		प्रदर्शन			प्रदर्शन
में		में			में
सपा		सपा			सपा
की		का			का
राष्ट्रीय		राष्ट्रीय			राष्ट्रीय
सचिव		सचिव			सचिव
व		व			व
महिला		महिला			महिला
मोर्चा		मोर्चा			मोर्चा
की		का			का
अध्यक्ष		अध्यक्ष			अध्यक्ष
रंजना		रंजना			रंजना
वाजपेयी		वाजपेयी			वाजपेयी
,		COMMA			UNNNNNNNNNNNNNNNNN
विधायक		विधायक			विधायक
कोविद		कोविद			कोविद
कुमार		कुमार			कुमार
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
कीर्ति		कीर्ति			कीर्ति
वर्धन		वर्धन			वर्धन
सिंह		सिंह			सिंह
,		COMMA			UNNNNNNNNNNNNNNNNN
ठाकुर		ठाकुर			ठाकुर
सुनील		सुनील			सुनील
सिंह		सिंह			सिंह
और		और			और
मोहन		मोहन			मोहन
सिंह		सिंह			सिंह
भी		भी			भी
शामिल		शामिल			शामिल
हुए		हो			हो
।		।			।
धरने		धरना			धरन
का		का			का
संचालन		संचालन			संचालन
महासभा		महासभा			महासभा
की		का			का
राष्ट्रीय		राष्ट्रीय			राष्ट्रीय
सचिव		सचिव			सचिव
अर्चना		अर्चना			अर्चना
राठौर		राठौर			राठौर
ने		ने			ने
किया		कर			कर
।		।			।
पाकिस्तान		पाकिस्तान			पाकिस्तान
के		का			का
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
जफरुल्ला		जफरुल्ला			जफरुल्ला
खान		खान			खान
जमाली		जमाली			जमाली
ने		ने			ने
शनिवार		शनिवार			शनिवार
को		को			को
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
मनमोहन		मनमोहन			मनमोहन
सिंह		सिंह			सिंह
से		से			से
बात		बात			बात
की		कर			का
।		।			।
जमाली		जमाली			जमाली
ने		ने			ने
सिंह		सिंह			सिंह
को		को			को
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
पद		पद			पद
संभालने		संभाल			संभाल
के		के			का
लिए		लिए			लिए
बधाई		बधाई			बधाई
दी		दे			दे
और		और			और
आशा		आशा			आशा
जताई		जता			जता
कि		कि			कि
द्विपक्षीय		द्विपक्षीय			द्विपक्षीय
संबंधों		संबंध			संबंध
को		को			को
बेहतर		बेहतर			बेहतर
बनाने		बना			बना
के		के			का
लिए		लिए			लिए
चल		चल			चल
रहे		रह			रह
प्रयास		प्रयास			प्रयास
जारी		जारी			जारी
रहेंगे		रह			रह
।		।			।
जमाली		जमाली			जमाली
ने		ने			ने
कहा		कह			कह
कि		कि			कि
हाल		हाल			हाल
के		का			का
क्रिकेट		क्रिकेट			क्रिकेट
मैच		मैच			मैच
में		में			में
लोगों		लोग			लोग
के		का			का
उत्साह		उत्साह			उत्साह
ने		ने			ने
साबित		साबित			साबित
कर		कर			कर
दिया		दे			दे
कि		कि			कि
वे		वह			वह
एक		एक			एक
-		-			-
दूसरे		दूसरा			दूसरा
से		से			से
दोस्ताना		दोस्ताना			दोस्ताना
रवैया		रवैया			रवैया
रखना		रख			रख
चाहते		चाह			चाह
हैं		है			है
।		।			।
शांति		शान्ति			शान्तििििििििििििि
प्रक्रिया		प्रक्रिया			प्रक्रिया
की		का			का
बहाली		बहाली			बहाली
पर		पर			पर
भी		भी			भी
दोनों		दो			दो
नेताओं		नेता			नेता
ने		ने			ने
संतोष		संतोष			संतोष
ज़ाहिर		जाहिर			जाहिर
किया		कर			कर
।		।			।
ईरान		ईरान			ईरान
के		का			का
राष्ट्रपति		राष्ट्रपति			राष्ट्रपति
मोहम्मद		मोहम्मद			मोहम्मद
खतामी		खतामी			खतामी
ने		ने			ने
भी		भी			भी
सिंह		सिंह			सिंह
को		को			को
बधाई		बधाई			बधाई
दी		दे			दे
।		।			।
ईरान		ईरान			ईरान
से		से			से
भारत		भारत			भारत
के		का			का
संबंध		संबंध			संबंध
बेहतर		बेहतर			बेहतर
बनाने		बना			बना
और		और			और
सामरिक		सामरिक			सामरिक
सहयोग		सहयोग			सहयोग
के		के			का
लिए		लिए			लिए
खतामी		खतामी			खतामी
ने		ने			ने
सिंह		सिंह			सिंह
से		से			से
सहयोग		सहयोग			सहयोग
की		का			का
भी		भी			भी
अपील		अपील			अपील
की		कर			का
।		।			।
जम्मू		जम्मू			जम्मू
-		-			-
कश्मीर		कश्मीर			कश्मीर
में		में			में
भारी		भारी			भारी
बारिश		बारिश			बारिश
के		के			का
बावजूद		बावजूद			बावजूद
शुक्रवार		शुक्रवार			शुक्रवार
को		को			को
वैदिक		वैदिक			वैदिक
मंत्रोच्चारण		मंत्रोच्चारण			मंं्रोच्चारण
के		के			का
बीच		बीच			बीच
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
यात्रा		यात्रा			यात्रा
शुरू		शुरू			शुरू
हुई		हो			हो
।		।			।
अमरनाथ		अमरनाथ			अमरनाथ
यात्रा		यात्रा			यात्रा
के		का			का
अंतिम		अंतिम			अंतिम
चरण		चरण			चरण
के		के			का
लिए		लिए			लिए
दशनामी		दशनामी			दशनामी
अखाड़े		अखाडा			अखाड़
के		का			का
महंत		महंत			महंत
दीपेंद्र		दीपेंद्र			दीपेंद्र
गिरि		गिरि			गिरि
के		के			का
साथ		साथ			साथ
बड़ी		बड़ा			बड़
संख्या		संख्या			संख्या
में		में			में
साधु		साधु			साधु
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
को		को			को
लेकर		ले			ले
पहलगाम		पहलगाम			पहलगाम
के		के			का
लिए		लिए			लिए
रवाना		रवाना			रवाना
हुए		हो			हो
।		।			।
इस		यह			यह
दौरान		दौरान			दौरान
हर		हर			हर
-		-			-
हर		हर			हर
महादेव		महादेव			महादेव
से		से			से
पूरा		पूरा			पूरा
वातावरण		वातावरण			वातावरण
गूंज		गूंज			गूंज
उठा		उठ			उठा
।		।			।
दो		दो			दो
महीने		महीना			महीना
तक		तक			तक
चलने		चल			चल
वाली		वाला			वाला
अमरनाथ		अमरनाथ			अमरनाथ
यात्रा		यात्रा			यात्रा
11		11			11
जुलाई		जुलाई			जुलाई
को		को			को
शुरू		शुरू			शुरू
हुई		हो			हो
थी		था			था
।		।			।
यात्रा		यात्रा			यात्रा
शुरू		शुरू			शुरू
होने		हो			हो
से		से			से
पहले		पहले			पहले
श्रीनगर		श्रीनगर			श्रीनगर
के		का			का
बादशाह		बादशाह			बादशाह
चौक		चौक			चौक
स्थित		स्थित			स्थित
दशनामी		दशनामी			दशनामी
अखाड़ा		अखाडा			अखाड़
मंदिर		मंदिर			मंदिर
में		में			में
गिरि		गिरि			गिरि
ने		ने			ने
पवित्र		पवित्र			पवित्र
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
की		का			का
विशेष		विशेष			विशेष
पूजा		पूजा			पूजा
अर्चना		अर्चना			अर्चना
की		कर			का
।		।			।
मूसलाधार		मूसलाधार			मूसलाधार
बारिश		बारिश			बारिश
के		के			का
बावजूद		बावजूद			बावजूद
पूजा		पूजा			पूजा
के		के			का
समय		समय			समय
बड़ी		बड़ा			बड़
तादाद		तादाद			तादाद
में		में			में
श्रद्धालु		श्रद्धालु			श्रद्धालु
जमा		जमा			जमा
थे		था			था
।		।			।
सुरक्षा		सुरक्षा			सुरक्षा
कारणों		कारण			कारण
से		से			से
पवित्र		पवित्र			पवित्र
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
को		को			को
गाड़ी		गाड़ी			गाड़
में		में			में
रखकर		रख			रख
कड़ी		कड़ा			कड़
सुरक्षा		सुरक्षा			सुरक्षा
व्यवस्था		व्यवस्था			व्यवस्था
के		के			का
बीच		बीच			बीच
अमरनाथ		अमरनाथ			अमरनाथ
ले		ले			ले
जाया		जा			जा
जाता		जा			जा
है		है			है
।		।			।
पिछले		पिछला			पिछला
साल		साल			साल
से		से			से
कम		कम			कम
पहुंचे		पहुंच			पहुंच
भक्त		भक्त			भक्त
।		।			।
महंत		महंत			महंत
गिरि		गिरि			गिरि
ने		ने			ने
बताया		बता			बता
कि		कि			कि
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
के		के			का
साथ		साथ			साथ
शुक्रवार		शुक्रवार			शुक्रवार
की		का			का
रात		रात			रात
वह		वह			वह
पहलगाम		पहलगाम			पहलगाम
पहुंचेंगे		पहुंच			पहुंच
जहां		जहाँ			जहाँ
शाम		शाम			शाम
में		में			में
और		और			और
शनिवार		शनिवार			शनिवार
की		का			का
सुबह		सुबह			सुबह
पूजा		पूजा			पूजा
की		कर			का
जाएगी		जा			जा
।		।			।
9		9			U
अगस्त		अगस्त			अगस्त
को		को			को
श्रावण		श्रावण			श्रावण
पूर्णिमा		पूर्णिमा			पूर्णिमा
(		(			(
रक्षा		रक्षा			रक्षा
बंधन		बंधन			बंधन
)		)			)
को		को			को
अंतिम		अंतिम			अंतिम
दर्शन		दर्शन			दर्शन
से		से			से
पहले		पहले			पहले
इसे		यह			यह
जुलूस		जुलूस			जुलूस
की		का			का
शक्ल		शक्ल			शक्ल
में		में			में
चंदनबाड़ी		चंदनबाड़ी			चंदनबाड़ी
,		COMMA			UNNNNNNNNNNNNNNNNN
शेषनाग		शेषनाग			शेषनाग
और		और			और
पंचतरणी		पंचतरणी			पंचतरणी
ले		ले			ले
जाया		जा			जा
जाएगा		जा			जा
।		।			।
उसी		वह			वह
दिन		दिन			दिन
(		(			(
नौ		नौ			नौ
अगस्त		अगस्त			अगस्त
)		)			)
शाम		शाम			शाम
को		को			को
छड़ी		छड़ी			छड़
मुबारक		मुबारक			मुबारक
को		को			को
पहलगाम		पहलगाम			पहलगाम
ले		ले			ले
आया		आ			आ
जाएगा		जा			जा
जहां		जहाँ			जहाँ
पूजा		पूजा			पूजा
-		-			-
अर्चना		अर्चना			अर्चना
की		कर			का
जाएगी		जा			जा
।		।			।
उसके		वह			वह
बाद		बाद			बाद
उसे		वह			वह
श्रीनगर		श्रीनगर			श्रीनगर
लाया		ला			ला
जाएगा		जा			जा
।		।			।
आधिकारिक		आधिकारिक			आधिकारिक
सूत्रों		सूत्र			सूत्र
के		के			का
मुताबिक		मुताबिक			मुताबिक
इस		यह			यह
साल		साल			साल
तकरीबन		तकरीबन			तकरीबन
2.90		2.90			2.U0
लाख		लाख			लाख
श्रद्धालुओं		श्रद्धालु			श्रद्धालु
ने		ने			ने
अमरनाथ		अमरनाथ			अमरनाथ
गुफा		गुफा			गुफा
में		में			में
पवित्र		पवित्र			पवित्र
शिवलिंग		शिवलिंग			शिवलिंग
के		का			का
दर्शन		दर्शन			दर्शन
किए		कर			कर
हैं		है			है
।		।			।
हालांकि		हालांकि			हालांकि
यह		यह			यह
संख्या		संख्या			संख्या
पिछले		पिछला			पिछला
साल		साल			साल
के		के			का
मुकाबले		मुकाबला			मुकाबला
काफी		काफी			काफी
कम		कम			कम
है		है			है
।		।			।
पिछले		पिछला			पिछला
साल		साल			साल
4.5		4.5			U.5
लाख		लाख			लाख
श्रद्धालुओं		श्रद्धालु			श्रद्धालु
ने		ने			ने
अमरनाथ		अमरनाथ			अमरनाथ
की		का			का
यात्रा		यात्रा			यात्रा
की		कर			का
थी		था			था
।		।			।
इस		यह			यह
बीच		बीच			बीच
शुक्रवार		शुक्रवार			शुक्रवार
को		को			को
उत्तर		उत्तर			उत्तर
प्रदेश		प्रदेश			प्रदेश
के		का			का
एक		एक			एक
साधु		साधु			साधु
की		का			का
पंचतरणी		पंचतरणी			पंचतरणी
में		में			में
हार्ट		हार्ट			हार्ट
अटैक		अटैक			अटैक
से		से			से
मौत		मौत			मौत
हो		हो			हो
गई		जा			जा
।		।			।
इसके		यह			यह
साथ		साथ			साथ
ही		ही			ही
यात्रा		यात्रा			यात्रा
के		के			का
दौरान		दौरान			दौरान
मरने		मर			मर
वाले		वाला			वाला
श्रद्धालुओं		श्रद्धालु			श्रद्धालु
की		का			का
संख्या		संख्या			संख्या
47		47			UU
हो		हो			हो
गई		जा			जा
है		है			है
।		।			।
सरकार		सरकार			सरकार
ने		ने			ने
प्रतिबंधित		प्रतिबंधित			प्रतिबंधित
उग्रवादी		उग्रवादी			उग्रवादी
संगठन		संगठन			संगठन
यूनाइटेड		यूनाइटेड			यूनाइटेड
नेशनल		नेशनल			नेशनल
लिबरेशन		लिबरेशन			लिबरेशन
फ्रंट		फ्रंट			फ्रंट
(		(			(
यूएनएलएफ		यूएनएलएफ			यूएनएलएफ
)		)			)
के		का			का
प्रस्ताव		प्रस्ताव			प्रस्ताव
को		को			को
एक		एक			एक
सिरे		सिरा			सिरा
से		से			से
नकार		नकार			नकार
दिया		दे			दे
है		है			है
।		।			।
इसमें		यह			यह
उसने		वह			वह
मणिपुर		मणिपुर			मणिपुर
को		को			को
भारत		भारत			भारत
के		के			का
साथ		साथ			साथ
रहना		रह			रह
चाहिए		चाहिए			चाहिए
या		या			या
नहीं		नहीं			नहीं
इस		यह			यह
बारे		बारे			बारे
में		में			में
जनमत		जनमत			जनमत
-		-			-
संग्रह		संग्रह			संग्रह
की		का			का
सिफारिश		सिफारिश			सिफारिश
की		कर			का
है		है			है
।		।			।
इंफाल		इंफाल			इंफाल
से		से			से
२५		२५			२५
किलोमीटर		किलोमीटर			किलोमीटर
दूर		दूर			दूर
लेइमाखोंग		लेइमाखोंग			लेइमाखोंग
स्थित		स्थित			स्थित
५७		५७			५७
-		-			-
माउंटेन		माउंटेन			माउंटेन
डिवीज़न		डिवीज़न			डिवीजन
के		का			का
मुख्यालय		मुख्यालय			मुख्यालय
में		में			में
संवाददाता		संवाददाता			संवाददाता
सम्मेलन		सम्मेलन			सम्मेलन
में		में			में
रक्षामंत्री		रक्षामंत्री			रक्षामंत्री
प्रणब		प्रणब			प्रणब
मुखर्जी		मुखर्जी			मुखर्जी
ने		ने			ने
यूएनएलएफ		यूएनएलएफ			यूएनएलएफ
के		का			का
प्रस्ताव		प्रस्ताव			प्रस्ताव
को		को			को
नकारते		नकार			नकार
हुए		हो			हो
कहा		कह			कह
कि		कि			कि
यह		यह			यह
किसी		कोई			कोई
भी		भी			भी
तरह		तरह			तरह
से		से			से
संभव		संभव			संभव
नहीं		नहीं			नहीं
है		है			है
।		।			।
मणिपुर		मणिपुर			मणिपुर
की		का			का
आज़ादी		आजादी			आजादी
की		का			का
माँग		माँग			माँग
करने		कर			कर
वाले		वाला			वाला
उग्रवादी		उग्रवादी			उग्रवादी
संगठन		संगठन			संगठन
यूएनएलएफ		यूएनएलएफ			यूएनएलएफ
ने		ने			ने
कहा		कह			कह
कि		कि			कि
केंद्र		केंद्र			केंद्र
सरकार		सरकार			सरकार
अगर		अगर			अगर
संयुक्त		संयुक्त			संयुक्त
राष्ट्र		राष्ट्र			राष्ट्र
के		का			का
अधिकारियों		अधिकारी			अधिकारी
के		के			का
सामने		सामने			सामने
जनमतसंग्रह		जनमतसंग्रह			जनमतसंग्रह
करवाने		करवा			करा
के		के			का
लिए		लिए			लिए
तैयार		तैयार			तैयार
हो		हो			हो
तो		तो			तो
वह		वह			वह
हथियार		हथियार			हथियार
डालने		डाल			डाल
के		के			का
लिए		लिए			लिए
तैयार		तैयार			तैयार
है		है			है
।		।			।
राज्य		राज्य			राज्य
में		में			में
उग्रवाद		उग्रवाद			उग्रवाद
के		का			का
मुद्दे		मुद्दा			मुद्दा
पर		पर			पर
प्रणब		प्रणब			प्रणब
मुखर्जी		मुखर्जी			मुखर्जी
ने		ने			ने
कहा		कह			कह
कि		कि			कि
क्षेत्र		क्षेत्र			क्षेत्र
में		में			में
सामान्य		सामान्य			सामान्य
स्थिति		स्थिति			स्थिति
बहाल		बहाल			बहाल
करने		कर			कर
में		में			में
राज्य		राज्य			राज्य
सरकार		सरकार			सरकार
को		को			को
मदद		मदद			मदद
करने		कर			कर
के		के			का
लिए		लिए			लिए
यहाँ		यहाँ			यहाँ
सेना		सेना			सेना
तैनात		तैनात			तैनात
की		कर			का
गई		जा			जा
है		है			है
।		।			।
मुखर्जी		मुखर्जी			मुखर्जी
ने		ने			ने
कहा		कह			कह
कि		कि			कि
सेना		सेना			सेना
ने		ने			ने
राज्य		राज्य			राज्य
में		में			में
उग्रवादियों		उग्रवादी			उग्रवादी
के		का			का
प्रभाव		प्रभाव			प्रभाव
वाले		वाला			वाला
इलाकों		इलाका			इलाका
से		से			से
उनका		वह			वह
सफाया		सफाया			सफाया
कर		कर			कर
दिया		दे			दे
है		है			है
।		।			।
अब		अब			अब
इन		यह			यह
स्थानों		स्थान			स्थान
पर		पर			पर
सुरक्षाबलों		सुरक्षाबल			सुरक्षाबल
का		का			का
नियंत्रण		नियंत्रण			नियंत्रण
है		है			है
।		।			।
उन्होंने		वह			वह
कहा		कह			कह
कि		कि			कि
सेना		सेना			सेना
ने		ने			ने
राज्य		राज्य			राज्य
के		का			का
८		८			८
से		से			से
९		९			९
उग्रवादी		उग्रवादी			उग्रवादी
संगठनों		संगठन			संगठन
के		के			का
खिलाफ		खिलाफ			खिलाफ
संघर्ष		संघर्ष			संघर्ष
विराम		विराम			विराम
की		का			का
घोषणा		घोषणा			घोषणा
कर		कर			कर
रखी		रख			रख
है		है			है
।		।			।
इसीलिए		इसीलिए			इसीलिए
सेना		सेना			सेना
ने		ने			ने
इन		यह			यह
संगठनों		संगठन			संगठन
के		के			का
खिलाफ		खिलाफ			खिलाफ
अपना		अपना			अपना
अभियान		अभियान			अभियान
रोका		रोक			रोक
हुआ		हो			हो
है		है			है
।		।			।
हालांकि		हालांकि			हालांकि
मुखर्जी		मुखर्जी			मुखर्जी
ने		ने			ने
इन		यह			यह
संगठनों		संगठन			संगठन
के		का			का
नाम		नाम			नाम
का		का			का
खुलासा		खुलासा			खुलासा
नहीं		नहीं			नहीं
किया		कर			कर
।		।			।
प्रणब		प्रणब			प्रणब
मुखर्जी		मुखर्जी			मुखर्जी
ने		ने			ने
कहा		कह			कह
कि		कि			कि
आईजोल		आईजोल			आईजोल
व		व			व
मिजोरम		मिजोरम			मिजोरम
में		में			में
सेना		सेना			सेना
भर्ती		भर्ती			भर्ती
केंद्र		केंद्र			केंद्र
खोला		खोल			खोल
जाएगा		जा			जा
।		।			।
मणिपुर		मणिपुर			मणिपुर
के		का			का
दौरे		दौरा			दौरा
के		के			का
दौरान		दौरान			दौरान
मुखर्जी		मुखर्जी			मुखर्जी
के		के			का
साथ		साथ			साथ
सेना		सेना			सेना
प्रमुख		प्रमुख			प्रमुख
जे.		जे.			जे.
जे.		जे.			जे.
सिंह		सिंह			सिंह
और		और			और
पश्चिमी		पश्चिमी			पश्चिमी
कमान		कमान			कमान
के		का			का
जीओसी		जीओसी			जीओसी
इन		इन			यह
सी		सी			सा
अरविंद		अरविंद			अरविंद
शर्मा		शर्मा			शर्मा
भी		भी			भी
साथ		साथ			साथ
थे		था			था
।		।			।
देश		देश			देश
के		का			का
सात		सात			सात
बेहतरीन		बेहतरीन			बेहतरीन
संस्थानों		संस्थान			संस्थान
को		को			को
उन्नत		उन्नत			उन्नत
रूप		रूप			रूप
देकर		दे			दे
भारतीय		भारतीय			भारतीय
प्रौद्योगिकी		प्रौद्योगिकी			प्रौद्योगिकी
संस्थानों		संस्थान			संस्थान
(		(			(
आईआईटी		आईआईटी			आईआईटी
)		)			)
के		के			का
समकक्ष		समकक्ष			समकक्ष
बनाने		बना			बना
के		के			का
लिए		लिए			लिए
सरकार		सरकार			सरकार
विशेषज्ञ		विशेषज्ञ			विशेषज्ञ
समिति		समिति			समिति
की		का			का
रिपोर्ट		रिपोर्ट			रिपोर्ट
का		का			का
इंतजार		इंतजार			इंतजार
कर		कर			कर
रही		रह			रह
है		है			है
।		।			।
इस		यह			यह
मामले		मामला			मामला
में		में			में
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
विजन		विजन			विजन
डॉक्यूमेंट		डॉक्यूमेंट			डॉक्यूमेंट
'		SINGLE_QUOTE			UUUUUUUUUUUUUUUUUU
के		का			का
अध्ययन		अध्ययन			अध्ययन
के		के			का
लिए		लिए			लिए
विशेषज्ञ		विशेषज्ञ			विशेषज्ञ
समिति		समिति			समिति
गठित		गठित			गठित
की		कर			का
गयी		जा			जा
थी		था			था
।		।			।
मानव		मानव			मानव
संसाधन		संसाधन			संसाधन
विकास		विकास			विकास
मंत्रालय		मंत्रालय			मंत्रालय
के		का			का
सूत्रों		सूत्र			सूत्र
के		के			का
मुताबिक		मुताबिक			मुताबिक
विशेषज्ञ		विशेषज्ञ			विशेषज्ञ
समिति		समिति			समिति
की		का			का
रिपोर्ट		रिपोर्ट			रिपोर्ट
अगले		अगला			अगला
महीने		महीना			महीना
आने		आ			आ
की		का			का
उम्मीद		उम्मीद			उम्मीद
है		है			है
और		और			और
रिपोर्ट		रिपोर्ट			रिपोर्ट
की		का			का
सिफारिशों		सिफारिश			सिफारिश
के		का			का
आधार		आधार			आधार
पर		पर			पर
आगे		आगे			आगे
की		का			का
योजना		योजना			योजना
बनेगी		बन			बन
।		।			।
प्रोफेसर		प्रोफेसर			प्रोफेसर
एम.		एम.			एम.
आनंद		आनंद			आनंद
कृष्णन्		कृष्णन्			कृष्णन्
की		का			का
अध्यक्षता		अध्यक्षता			अध्यक्षता
में		में			में
गठित		गठित			गठित
समिति		समिति			समिति
को		को			को
सात		सात			सात
संस्थानों		संस्थान			संस्थान
द्वारा		द्वारा			द्वारा
सौंपे		सौंप			सौंप
गए		जा			जा
विजन		विजन			विजन
डॉक्यूमेंट		डॉक्यूमेंट			डॉक्यूमेंट
के		का			का
अध्ययन		अध्ययन			अध्ययन
की		का			का
जिम्मेदारी		जिम्मेदारी			जिम्मेदारी
सौंपी		सौंप			सौंप
गई		जा			जा
थी		था			था
।		।			।
प्रोफेसर		प्रोफेसर			प्रोफेसर
ए.		ए.			ए.
घोष		घोष			घोष
व		व			व
प्रोफेसर		प्रोफेसर			प्रोफेसर
डी.		डी.			डी.
वी.		वी.			वी.
सिंह		सिंह			सिंह
समिति		समिति			समिति
के		का			का
सदस्य		सदस्य			सदस्य
हैं		है			है
।		।			।
समिति		समिति			समिति
को		को			को
सातों		सात			सात
संस्थानों		संस्थान			संस्थान
को		को			को
उन्नत		उन्नत			उन्नत
रूप		रूप			रूप
देने		दे			दे
के		का			का
उपायों		उपाय			उपाय
के		के			का
बारे		बारे			बारे
में		में			में
सुझाव		सुझाव			सुझाव
पेश		पेश			पेश
करना		कर			कर
है		है			है
।		।			।
१५		१५			१५
अगस्त		अगस्त			अगस्त
,		COMMA			UNNNNNNNNNNNNNNNNN
२००३		२००३			२००३
को		को			को
तत्कालीन		तत्कालीन			तत्कालीन
प्रधानमंत्री		प्रधानमंत्री			प्रधानमंत्री
अटल		अटल			अटल
बिहारी		बिहारी			बिहारी
वाजपेयी		वाजपेयी			वाजपेयी
ने		ने			ने
७		७			७
बेहतरीन		बेहतरीन			बेहतरीन
संस्थानों		संस्थान			संस्थान
को		को			को
उन्नत		उन्नत			उन्नत
रूप		रूप			रूप
देकर		दे			दे
आईआईटी		आईआईटी			आईआईटी
के		के			का
समकक्ष		समकक्ष			समकक्ष
बनाने		बना			बना
की		का			का
घोषणा		घोषणा			घोषणा
की		कर			का
थी		था			था
।		।			।
ऐसे		ऐसा			ऐसा
संस्थानों		संस्थान			संस्थान
की		का			का
पहचान		पहचान			पहचान
के		के			का
लिए		लिए			लिए
केंद्र		केंद्र			केंद्र
ने		ने			ने
नवंबर		नवंबर			नवंबर
2003		2003			2003
में		में			में
प्रोफेसर		प्रोफेसर			प्रोफेसर
एस.		एस.			एस.
के.		के.			के.
जोशी		जोशी			जोशी
की		का			का
अध्यक्षता		अध्यक्षता			अध्यक्षता
में		में			में
विशेषज्ञ		विशेषज्ञ			विशेषज्ञ
समिति		समिति			समिति
गठित		गठित			गठित
की		कर			का
थी		था			था
।		.			।
समिति		समिति			समिति
ने		ने			ने
इस		यह			यह
वर्ष		वर्ष			वर्ष
अपनी		अपना			अपना
रिपोर्ट		रिपोर्ट			रिपोर्ट
सौंप		सौंप			सौंप
दी		दे			दे
है		है			है
।		।			।
जोशी		जोशी			जोशी
समिति		समिति			समिति
ने		ने			ने
उन्नत		उन्नत			उन्नत
रूप		रूप			रूप
दिये		दे			दे
जाने		जा			जा
के		के			का
लिए		लिए			लिए
इंस्टीट्यूट		इंस्टीट्यूट			इंस्टीट्यूट
ऑफ		ऑफ			ऑफ
टेक्नोलॉजी		टेक्नोलॉजी			टेक्नोलॉजी
,		COMMA			UNNNNNNNNNNNNNNNNN
वाराणसी		वाराणसी			वाराणसी
,		COMMA			UNNNNNNNNNNNNNNNNN
हैदराबाद		हैदराबाद			हैदराबाद
स्थित		स्थित			स्थित
उस्मानिया		उस्मानिया			उस्मानिया
विश्वविद्यालय		विश्वविद्यालय			विश्वविद्यालय
के		का			का
यूनिवर्सिटी		यूनिवर्सिटी			यूनिवर्सिटी
कॉलेज		कॉलेज			कॉलेज
ऑफ		ऑफ			ऑफ
टेक्नोलॉजी		टेक्नोलॉजी			टेक्नोलॉजी
के		का			का
